ID,Type,Artikelnummer,Naam,Gepubliceerd,Uitgelicht?,"Zichtbaarheid in catalogus","Korte beschrijving",Beschrijving,"Startdatum actieprijs","Einddatum actieprijs","Btw status",Belastingklasse,"Op voorraad?",Voorraad,"Lage voorraad","Nabestellingen toestaan?","Wordt individueel verkocht?","Gewicht (kg)","Lengte (cm)","Breedte (cm)","Hoogte (cm)","Klantbeoordelingen toestaan?",Aankoopnotitie,Actieprijs,"Reguliere prijs",Categorieën,Tags,Verzendklasse,Afbeeldingen,Downloadlimiet,"Dagen vervaltijd download",Hoofd,"Gegroepeerde producten",Upsells,Cross-sells,"Externe URL","Knop tekst",Positie
10264,simple,,"ZLATNA DZEZVA KOFFIE 200G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"2,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/ZLATNA-DZEZVA-KOFFIE-200G.jpg,,,,,,,,,0
10266,simple,,"DONCAFE MINAS 500G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"7,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/minasdon_600x.webp,,,,,,,,,0
10268,simple,,"GRAND KOFFIE GOLD 500G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"7,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/GRAND-KOFFIE-GOLD-500G.webp,,,,,,,,,0
10270,simple,,"DUBAI CHOCOLADE 300G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"9,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/10/Afbeelding-van-WhatsApp-op-2024-10-29-om-16.00.26_b3e57844.jpg,,,,,,,,,0
10271,simple,,"CEDEVITA SINAASAPPEL 455G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"4,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/CEDEVITA-SINAASAPPEL-455G.webp,,,,,,,,,0
10273,simple,,"CEDEVITA LIMOEN 455G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"4,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/CEDEVITA-LIMOEN-455G.jpg,,,,,,,,,0
10275,simple,,"CEDEVITA CITROEN 455G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"4,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/CEDEVITA-CITROEN.jpg,,,,,,,,,0
10277,simple,,"PODRAVKA DZEM 360G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"2,75","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/PODRAVKA-DZEM-360G.webp,,,,,,,,,0
10279,simple,,"PODRAVKA PEKMEZ 350G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"2,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/16011.jpg,,,,,,,,,0
10281,simple,,"SMOKI CHIPS 150G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,75","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/SMOKI-CHIPS-150G.webp,,,,,,,,,0
10283,simple,,"DRY MALLOW 200G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"2,50","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/DRY-MALLOW-200G.webp,,,,,,,,,0
10285,simple,,"LINO COKOLINO 200G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"2,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/LINO-COKOLINO-200G.jpg,,,,,,,,,0
10287,simple,,"NAPOLITANKE LEMON ORANGE 327G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"3,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/krasnapolitankelemonorange327g.webp,,,,,,,,,0
10289,simple,,"NAPOLITANKE CHOCOLATE CREAM 327G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"3,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/chococream_2048x.webp,,,,,,,,,0
10291,simple,,"JAFFA CAKES 150G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,59","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/JAFFA-CAKES.jpg,,,,,,,,,0
